pclass;survived;sex;age;sibsp;parch;fare
1;1;1;45;1;0;52.55
1;0;0;;0;0;26.55
1;1;1;39;0;0;211.34
1;1;1;49;0;0;25.93
1;1;1;30;0;0;106.43
1;1;0;35;0;0;512.33
1;0;0;;0;0;27.72
1;0;0;42;0;0;26.55
1;1;1;55;0;0;27.72
1;1;1;16;0;1;39.40
1;1;1;51;0;1;39.40
1;0;0;29;0;0;30.00
1;1;1;21;0;0;77.96
1;0;0;30;0;0;45.50
1;1;1;58;0;0;146.52
1;1;1;15;0;1;211.34
1;0;0;30;0;0;26.00
1;1;1;16;0;0;86.50
1;1;0;;0;0;29.70
1;0;0;19;1;0;53.10
1;1;1;18;1;0;53.10
1;1;1;24;0;0;49.50
1;0;0;46;0;0;75.24
1;0;0;54;0;0;51.86
1;1;0;36;0;0;26.29
1;0;0;28;1;0;82.17
1;1;1;;1;0;82.17
1;0;0;65;0;0;26.55
1;0;0;44;2;0;90.00
1;1;1;33;1;0;90.00
1;1;1;37;1;0;90.00
1;1;0;30;1;0;57.75
1;0;0;55;0;0;30.50
1;0;0;47;0;0;42.40
1;0;0;37;0;1;29.70
1;1;1;31;1;0;113.28
1;1;1;23;1;0;113.28
1;0;0;58;0;2;113.28
1;1;1;19;0;2;26.28
1;0;0;64;0;0;26.00
1;1;1;39;0;0;108.90
1;1;0;;0;0;25.74
1;1;1;22;0;1;61.98
1;0;0;65;0;1;61.98
1;0;0;28.5;0;0;27.72
1;0;0;;0;0;0.00
1;0;0;45.5;0;0;28.50
1;0;0;23;0;0;93.50
1;0;0;29;1;0;66.60
1;1;1;22;1;0;66.60
1;0;0;18;1;0;108.90
1;1;1;17;1;0;108.90
1;1;1;30;0;0;93.50
1;1;0;52;0;0;30.50
1;0;0;47;0;0;52.00
1;1;1;56;0;1;83.16
1;0;0;38;0;0;0.00
1;1;0;;0;0;39.60
1;0;0;22;0;0;135.63
1;0;0;;0;0;227.53
1;1;1;43;0;1;211.34
1;0;0;31;0;0;50.50
1;1;0;45;0;0;26.55
1;0;0;;0;0;50.00
1;1;1;33;0;0;27.72
1;0;0;46;0;0;79.20
1;0;0;36;0;0;40.13
1;1;1;33;0;0;86.50
1;0;0;55;1;0;59.40
1;1;1;54;1;0;59.40
1;0;0;33;0;0;26.55
1;1;0;13;2;2;262.38
1;1;1;18;2;2;262.38
1;1;1;21;2;2;262.38
1;0;0;61;1;3;262.38
1;1;1;48;1;3;262.38
1;1;0;;0;0;30.50
1;1;1;24;0;0;69.30
1;1;0;;0;0;26.00
1;1;1;35;1;0;57.75
1;1;1;30;0;0;31.00
1;1;0;34;0;0;26.55
1;1;1;40;0;0;153.46
1;1;0;35;0;0;26.29
1;0;0;50;1;0;55.90
1;1;1;39;1;0;55.90
1;1;0;56;0;0;35.50
1;1;0;28;0;0;35.50
1;0;0;56;0;0;26.55
1;0;0;56;0;0;30.70
1;0;0;24;1;0;60.00
1;0;0;;0;0;26.00
1;1;1;18;1;0;60.00
1;1;0;24;1;0;82.27
1;1;1;23;1;0;82.27
1;1;0;6;0;2;134.50
1;1;0;45;1;1;134.50
1;1;1;40;1;1;134.50
1;0;0;57;1;0;146.52
1;1;1;;1;0;146.52
1;1;0;32;0;0;30.50
1;0;0;62;0;0;26.55
1;1;0;54;1;0;55.44
1;1;1;43;1;0;55.44
1;1;1;52;1;0;78.27
1;0;0;;0;0;27.72
1;1;1;62;0;0;80.00
1;0;0;67;1;0;221.78
1;0;1;63;1;0;221.78
1;0;0;61;0;0;32.32
1;1;1;48;0;0;25.93
1;1;1;18;0;2;79.65
1;0;0;52;1;1;79.65
1;1;1;39;1;1;79.65
1;1;0;48;1;0;52.00
1;1;1;;1;0;52.00
1;0;0;49;1;1;110.88
1;1;0;17;0;2;110.88
1;1;1;39;1;1;110.88
1;1;1;;0;0;79.20
1;1;0;31;0;0;28.54
1;0;0;40;0;0;27.72
1;0;0;61;0;0;33.50
1;0;0;47;0;0;34.02
1;1;1;35;0;0;512.33
1;0;0;64;1;0;75.25
1;1;1;60;1;0;75.25
1;0;0;60;0;0;26.55
1;0;0;54;0;1;77.29
1;0;0;21;0;1;77.29
1;1;1;55;0;0;135.63
1;1;1;31;0;2;164.87
1;0;0;57;1;1;164.87
1;1;1;45;1;1;164.87
1;0;0;50;1;1;211.50
1;0;0;27;0;2;211.50
1;1;1;50;1;1;211.50
1;1;1;21;0;0;26.55
1;0;0;51;0;1;61.38
1;1;0;21;0;1;61.38
1;0;0;;0;0;35.00
1;1;1;31;0;0;134.50
1;1;0;;0;0;35.50
1;0;0;62;0;0;26.55
1;1;1;36;0;0;135.63
2;0;0;30;1;0;24.00
2;1;1;28;1;0;24.00
2;0;0;30;0;0;13.00
2;0;0;18;0;0;11.50
2;0;0;25;0;0;10.50
2;0;0;34;1;0;26.00
2;1;1;36;1;0;26.00
2;0;0;57;0;0;13.00
2;0;0;18;0;0;11.50
2;0;0;23;0;0;10.50
2;1;1;36;0;0;13.00
2;0;0;28;0;0;10.50
2;0;0;51;0;0;12.53
2;1;0;32;1;0;26.00
2;1;1;19;1;0;26.00
2;0;0;28;0;0;26.00
2;1;0;1;2;1;39.00
2;1;1;4;2;1;39.00
2;1;1;12;2;1;39.00
2;1;1;36;0;3;39.00
2;1;0;34;0;0;13.00
2;1;1;19;0;0;13.00
2;0;0;23;0;0;13.00
2;0;0;26;0;0;13.00
2;0;0;42;0;0;13.00
2;0;0;27;0;0;13.00
2;1;1;24;0;0;13.00
2;1;1;15;0;2;39.00
2;0;0;60;1;1;39.00
2;1;1;40;1;1;39.00
2;1;1;20;1;0;26.00
2;0;0;25;1;0;26.00
2;1;1;36;0;0;13.00
2;0;0;25;0;0;13.00
2;0;0;42;0;0;13.00
2;1;1;42;0;0;13.00
2;1;0;0.8;0;2;29.00
2;1;0;26;1;1;29.00
2;1;1;22;1;1;29.00
2;1;1;35;0;0;21.00
2;0;0;;0;0;0.00
2;0;0;19;0;0;13.00
2;0;1;44;1;0;26.00
2;0;0;54;1;0;26.00
2;0;0;52;0;0;13.50
2;0;0;37;1;0;26.00
2;0;1;29;1;0;26.00
2;1;1;25;1;1;30.00
2;1;1;45;0;2;30.00
2;0;0;29;1;0;26.00
2;1;1;28;1;0;26.00
2;0;0;29;0;0;10.50
2;0;0;28;0;0;13.00
2;1;0;24;0;0;10.50
2;1;1;8;0;2;26.25
2;0;0;31;1;1;26.25
2;1;1;31;1;1;26.25
2;1;1;22;0;0;10.50
2;0;1;30;0;0;13.00
2;0;1;;0;0;21.00
2;0;0;21;0;0;11.50
2;0;0;;0;0;0.00
2;1;0;8;1;1;36.75
2;0;0;18;0;0;73.50
2;1;1;48;0;2;36.75
2;1;1;28;0;0;13.00
2;0;0;32;0;0;13.00
2;0;0;17;0;0;73.50
2;0;0;29;1;0;27.72
2;1;1;24;1;0;27.72
2;0;0;25;0;0;31.50
2;0;0;18;0;0;73.50
2;1;1;18;0;1;23.00
2;1;1;34;0;1;23.00
2;0;0;54;0;0;26.00
2;1;0;8;0;2;32.50
2;0;0;42;1;1;32.50
2;1;1;34;1;1;32.50
2;1;1;27;1;0;13.86
2;1;1;30;1;0;13.86
2;0;0;23;0;0;13.00
2;0;0;21;0;0;13.00
2;0;0;18;0;0;13.00
2;0;0;40;1;0;26.00
2;1;1;29;1;0;26.00
2;0;0;18;0;0;10.50
2;0;0;36;0;0;13.00
2;0;0;;0;0;0.00
2;0;1;38;0;0;13.00
2;0;0;35;0;0;26.00
2;0;0;38;1;0;21.00
2;0;0;34;1;0;21.00
2;1;1;34;0;0;13.00
2;0;0;16;0;0;26.00
2;0;0;26;0;0;10.50
2;0;0;47;0;0;10.50
2;0;0;21;1;0;11.50
2;0;0;21;1;0;11.50
2;0;0;24;0;0;13.50
2;0;0;24;0;0;13.00
2;0;0;34;0;0;13.00
2;0;0;30;0;0;13.00
2;0;0;52;0;0;13.00
2;0;0;30;0;0;13.00
2;1;0;0.7;1;1;14.50
2;1;1;24;0;2;14.50
2;0;0;44;0;0;13.00
2;1;1;6;0;1;33.00
2;0;0;28;0;1;33.00
2;1;0;62;0;0;10.50
2;0;0;30;0;0;10.50
2;1;1;7;0;2;26.25
2;0;0;43;1;1;26.25
2;1;1;45;1;1;26.25
2;1;1;24;1;2;65.00
2;1;1;24;1;2;65.00
2;0;0;49;1;2;65.00
2;1;1;48;1;2;65.00
2;1;1;55;0;0;16.00
2;0;0;24;2;0;73.50
2;0;0;32;2;0;73.50
2;0;0;21;2;0;73.50
2;0;1;18;1;1;13.00
2;1;1;20;2;1;23.00
2;0;0;23;2;1;11.50
2;0;0;36;0;0;13.00
2;1;1;54;1;3;23.00
2;0;0;50;0;0;13.00
2;0;0;44;1;0;26.00
2;1;1;29;1;0;26.00
2;0;0;21;0;0;73.50
2;1;0;42;0;0;13.00
2;0;0;63;1;0;26.00
2;0;1;60;1;0;26.00
2;0;0;33;0;0;12.28
2;1;1;17;0;0;10.50
2;0;0;42;1;0;27.00
2;1;1;24;2;1;27.00
2;0;0;47;0;0;15.00
2;0;0;24;2;0;31.50
2;0;0;22;2;0;31.50
2;0;0;32;0;0;10.50
2;1;1;23;0;0;13.79
2;0;0;34;1;0;26.00
2;1;1;24;1;0;26.00
2;0;1;22;0;0;21.00
2;1;1;;0;0;12.35
2;0;0;35;0;0;12.35
2;1;1;45;0;0;13.50
2;0;0;57;0;0;12.35
2;0;0;;0;0;0.00
2;0;0;31;0;0;10.50
2;0;1;26;1;1;26.00
2;0;0;30;1;1;26.00
2;0;0;;0;0;10.71
2;1;1;1;1;2;41.58
2;1;1;3;1;2;41.58
2;0;0;25;1;2;41.58
2;1;1;22;1;2;41.58
2;1;1;17;0;0;12.00
2;1;1;;0;0;33.00
2;1;1;34;0;0;10.50
2;0;0;36;0;0;12.88
2;0;0;24;0;0;10.50
2;0;0;61;0;0;12.35
2;0;0;50;1;0;26.00
2;1;1;42;1;0;26.00
2;0;1;57;0;0;10.50
2;0;0;;0;0;15.05
2;1;0;1;0;2;37.00
2;0;0;31;1;1;37.00
2;1;1;24;1;1;37.00
2;0;0;;0;0;15.58
2;0;0;30;0;0;13.00
2;0;0;40;0;0;16.00
2;0;0;32;0;0;13.50
2;0;0;30;0;0;13.00
2;0;0;46;0;0;26.00
2;1;1;13;0;1;19.50
2;1;1;41;0;1;19.50
2;1;0;19;0;0;10.50
2;0;0;39;0;0;13.00
2;0;0;48;0;0;13.00
2;0;0;70;0;0;10.50
2;0;0;27;0;0;13.00
2;0;0;54;0;0;14.00
2;0;0;39;0;0;26.00
2;0;0;16;0;0;10.50
2;0;0;62;0;0;9.69
2;0;0;32.5;1;0;30.07
2;1;1;14;1;0;30.07
2;1;0;2;1;1;26.00
2;1;0;3;1;1;26.00
2;0;0;36.5;0;2;26.00
2;0;0;26;0;0;13.00
2;0;0;19;1;1;36.75
2;0;0;28;0;0;13.50
2;1;0;20;0;0;13.86
2;1;1;29;0;0;10.50
2;0;0;39;0;0;13.00
2;1;0;22;0;0;10.50
2;1;0;;0;0;13.86
2;0;0;23;0;0;10.50
2;1;0;29;0;0;13.86
2;0;0;28;0;0;10.50
2;0;0;;0;0;0.00
2;1;1;50;0;1;26.00
2;0;0;19;0;0;10.50
2;0;0;;0;0;15.05
2;0;0;41;0;0;13.00
2;1;1;21;0;1;21.00
2;1;1;19;0;0;26.00
2;0;0;43;0;1;21.00
2;1;1;32;0;0;13.00
2;0;0;34;0;0;13.00
2;1;0;30;0;0;12.74
2;0;0;27;0;0;15.03
2;1;1;2;1;1;26.00
2;1;1;8;1;1;26.00
2;1;1;33;0;2;26.00
2;0;0;36;0;0;10.50
2;0;0;34;1;0;21.00
2;1;1;30;3;0;21.00
2;1;1;28;0;0;13.00
2;0;0;23;0;0;15.05
2;1;0;0.8;1;1;18.75
2;1;0;3;1;1;18.75
2;1;1;24;2;3;18.75
2;1;1;50;0;0;10.50
2;0;0;19;0;0;10.50
2;1;1;21;0;0;10.50
2;0;0;26;0;0;13.00
2;0;0;25;0;0;13.00
2;0;0;27;0;0;26.00
2;1;1;25;0;1;26.00
2;1;1;18;0;2;13.00
2;1;1;20;0;0;36.75
2;1;1;30;0;0;13.00
2;0;0;59;0;0;13.50
2;1;1;30;0;0;12.35
2;0;0;35;0;0;10.50
2;1;1;40;0;0;13.00
2;0;0;25;0;0;13.00
2;0;0;41;0;0;15.05
2;0;0;25;0;0;10.50
2;0;0;18.5;0;0;13.00
2;0;0;14;0;0;65.00
2;1;1;50;0;0;10.50
2;0;0;23;0;0;13.00
2;1;1;28;0;0;12.65
2;1;1;27;0;0;10.50
2;0;0;29;1;0;21.00
2;0;1;27;1;0;21.00
2;0;0;40;0;0;13.00
2;1;1;31;0;0;21.00
2;0;0;30;1;0;21.00
2;0;0;23;1;0;10.50
2;1;1;31;0;0;21.00
2;0;0;;0;0;0.00
2;1;1;12;0;0;15.75
2;1;1;40;0;0;15.75
2;1;1;32.5;0;0;13.00
2;0;0;27;1;0;26.00
2;1;1;29;1;0;26.00
2;1;0;2;1;1;23.00
2;1;1;4;1;1;23.00
2;1;1;29;0;2;23.00
2;1;1;0.9;1;2;27.75
2;1;1;5;1;2;27.75
2;0;0;36;1;2;27.75
2;1;1;33;1;2;27.75
2;0;0;66;0;0;10.50
2;0;0;;0;0;12.88
2;1;0;31;0;0;13.00
2;1;0;;0;0;13.00
2;1;1;26;0;0;13.50
2;0;1;24;0;0;13.00
3;0;0;42;0;0;7.55
3;0;0;13;0;2;20.25
3;0;0;16;1;1;20.25
3;1;1;35;1;1;20.25
3;1;1;16;0;0;7.65
3;1;0;25;0;0;7.65
3;1;0;20;0;0;7.93
3;1;1;18;0;0;7.23
3;0;0;30;0;0;7.25
3;0;0;26;0;0;8.05
3;0;1;40;1;0;9.48
3;1;0;0.8;0;1;9.35
3;1;1;18;0;1;9.35
3;1;0;26;0;0;18.79
3;0;0;26;0;0;7.89
3;0;0;20;0;0;7.93
3;0;0;24;0;0;7.05
3;0;0;25;0;0;7.05
3;0;0;35;0;0;8.05
3;0;0;18;0;0;8.30
3;0;0;32;0;0;22.53
3;1;1;19;1;0;7.85
3;0;0;4;4;2;31.28
3;0;1;6;4;2;31.28
3;0;1;2;4;2;31.28
3;1;1;17;4;2;7.93
3;0;1;38;4;2;7.78
3;0;1;9;4;2;31.28
3;0;1;11;4;2;31.28
3;0;0;39;1;5;31.28
3;1;0;27;0;0;7.80
3;0;0;26;0;0;7.78
3;0;1;39;1;5;31.28
3;0;0;20;0;0;7.85
3;0;0;26;0;0;7.90
3;0;0;25;1;0;17.80
3;0;1;18;1;0;17.80
3;0;0;24;0;0;7.78
3;0;0;35;0;0;7.05
3;0;0;5;4;2;31.39
3;0;0;9;4;2;31.39
3;1;0;3;4;2;31.39
3;0;0;13;4;2;31.39
3;1;1;5;4;2;31.39
3;0;0;40;1;5;31.39
3;1;0;23;0;0;7.80
3;1;1;38;1;5;31.39
3;1;1;45;0;0;7.23
3;0;0;21;0;0;7.23
3;0;0;23;0;0;7.05
3;0;1;17;0;0;14.46
3;0;0;30;0;0;7.23
3;0;0;23;0;0;7.85
3;1;1;13;0;0;7.23
3;0;0;20;0;0;7.23
3;0;0;32;1;0;15.85
3;1;1;33;3;0;15.85
3;1;1;0.8;2;1;19.26
3;1;1;0.8;2;1;19.26
3;1;1;5;2;1;19.26
3;1;1;24;0;3;19.26
3;1;1;18;0;0;8.05
3;0;0;40;0;0;7.23
3;0;0;26;0;0;7.90
3;1;0;20;0;0;7.23
3;0;1;18;0;1;14.45
3;0;1;45;0;1;14.45
3;0;1;27;0;0;7.88
3;0;0;22;0;0;8.05
3;0;0;19;0;0;8.05
3;0;0;26;0;0;7.78
3;0;0;22;0;0;9.35
3;0;0;;0;0;7.23
3;0;0;20;0;0;4.01
3;1;0;32;0;0;56.50
3;0;0;21;0;0;7.78
3;0;0;18;0;0;7.75
3;0;0;26;0;0;7.90
3;0;0;6;1;1;15.25
3;0;1;9;1;1;15.25
3;0;0;;0;0;7.23
3;0;1;;0;2;15.25
3;0;1;;0;2;7.75
3;0;0;40;1;1;15.50
3;0;1;32;1;1;15.50
3;0;0;21;0;0;16.10
3;1;1;22;0;0;7.73
3;0;1;20;0;0;7.85
3;0;0;29;1;0;7.05
3;0;0;22;1;0;7.25
3;0;0;22;0;0;7.80
3;0;0;35;0;0;8.05
3;0;1;18.5;0;0;7.28
3;1;0;21;0;0;7.82
3;0;0;19;0;0;6.75
3;0;1;18;0;0;7.88
3;0;1;21;0;0;8.66
3;0;1;30;0;0;8.66
3;0;0;18;0;0;8.66
3;0;0;38;0;0;8.66
3;0;0;17;0;0;8.66
3;0;0;17;0;0;8.66
3;0;1;21;0;0;7.75
3;0;0;21;0;0;7.75
3;0;0;21;0;0;8.05
3;0;0;;1;0;14.46
3;0;1;;1;0;14.46
3;0;0;28;0;0;7.80
3;0;0;24;0;0;7.85
3;1;1;16;0;0;7.75
3;0;1;37;0;0;7.75
3;0;0;28;0;0;7.25
3;0;0;24;0;0;8.05
3;0;0;21;0;0;7.73
3;1;0;32;0;0;56.50
3;0;0;29;0;0;8.05
3;0;0;26;1;0;14.45
3;0;0;18;1;0;14.45
3;0;0;20;0;0;7.05
3;1;0;18;0;0;8.05
3;0;0;24;0;0;7.25
3;0;0;36;0;0;7.50
3;0;0;24;0;0;7.50
3;0;0;31;0;0;7.73
3;0;0;31;0;0;7.75
3;1;1;22;0;0;7.75
3;0;1;30;0;0;7.63
3;0;0;70.5;0;0;7.75
3;0;0;43;0;0;8.05
3;0;0;35;0;0;7.90
3;0;0;27;0;0;7.90
3;0;0;19;0;0;7.90
3;0;0;30;0;0;8.05
3;1;0;9;1;1;15.90
3;1;0;3;1;1;15.90
3;1;1;36;0;2;15.90
3;0;0;59;0;0;7.25
3;0;0;19;0;0;8.16
3;1;1;17;0;1;16.10
3;0;0;44;0;1;16.10
3;0;0;17;0;0;8.66
3;0;0;22.5;0;0;7.23
3;1;0;45;0;0;8.05
3;0;1;22;0;0;10.52
3;0;0;19;0;0;10.17
3;1;1;30;0;0;6.95
3;1;0;29;0;0;7.75
3;0;0;0.3;0;2;14.40
3;0;0;34;1;1;14.40
3;0;1;28;1;1;14.40
3;0;0;27;0;0;7.90
3;0;0;25;0;0;7.90
3;0;0;24;2;0;24.15
3;0;0;22;0;0;8.05
3;0;0;21;2;0;24.15
3;0;0;17;2;0;8.05
3;0;0;;1;0;16.10
3;1;1;;1;0;16.10
3;1;0;36.5;1;0;17.40
3;1;1;36;1;0;17.40
3;1;0;30;0;0;9.50
3;0;0;16;0;0;9.50
3;1;0;1;1;2;20.58
3;1;1;0.2;1;2;20.58
3;0;0;26;1;2;20.58
3;1;1;33;1;2;20.58
3;0;0;25;0;0;7.90
3;0;0;;0;0;7.90
3;0;0;;0;0;7.90
3;0;0;22;0;0;7.25
3;0;0;36;0;0;7.25
3;1;1;19;0;0;7.88
3;0;0;17;0;0;7.90
3;0;0;42;0;0;8.66
3;0;0;43;0;0;7.90
3;0;0;;0;0;7.23
3;0;0;32;0;0;7.75
3;1;0;19;0;0;8.05
3;1;1;30;0;0;12.48
3;0;1;24;0;0;7.75
3;1;1;23;0;0;8.05
3;0;0;33;0;0;7.90
3;0;0;65;0;0;7.75
3;1;0;24;0;0;7.55
3;0;0;23;1;0;13.90
3;1;1;22;1;0;13.90
3;0;0;18;0;0;7.78
3;0;0;16;0;0;7.78
3;0;0;45;0;0;6.98
3;0;0;;0;0;7.23
3;0;0;39;0;2;7.23
3;0;0;17;1;1;7.23
3;0;0;15;1;1;7.23
3;0;0;47;0;0;7.25
3;1;1;5;0;0;12.48
3;0;0;;0;0;7.23
3;0;0;40.5;0;0;15.10
3;0;0;40.5;0;0;7.75
3;1;0;;0;0;7.05
3;0;0;18;0;0;7.80
3;0;1;;0;0;7.75
3;0;0;;0;0;7.75
3;0;0;;0;0;6.95
3;0;0;26;0;0;7.88
3;0;0;;0;0;7.75
3;1;0;;0;0;56.50
3;0;1;21;2;2;34.38
3;0;1;9;2;2;34.38
3;0;0;;0;0;8.05
3;0;0;18;2;2;34.38
3;0;0;16;1;3;34.38
3;0;1;48;1;3;34.38
3;0;0;;0;0;7.75
3;0;0;;0;0;7.25
3;0;0;25;0;0;7.74
3;0;0;;0;0;14.50
3;0;0;;0;0;7.90
3;0;0;22;0;0;8.05
3;1;1;16;0;0;7.73
3;1;1;;0;0;7.75
3;1;0;9;0;2;20.53
3;0;0;33;1;1;20.53
3;0;0;41;0;0;7.85
3;1;1;31;1;1;20.53
3;0;0;38;0;0;7.05
3;0;0;9;5;2;46.90
3;0;0;1;5;2;46.90
3;0;0;11;5;2;46.90
3;0;1;10;5;2;46.90
3;0;1;16;5;2;46.90
3;0;0;14;5;2;46.90
3;0;0;40;1;6;46.90
3;0;1;43;1;6;46.90
3;0;0;51;0;0;8.05
3;0;0;32;0;0;8.36
3;0;0;;0;0;8.05
3;0;0;20;0;0;9.85
3;0;0;37;2;0;7.93
3;0;0;28;2;0;7.93
3;0;0;19;0;0;7.78
3;0;1;24;0;0;8.85
3;0;1;17;0;0;7.73
3;0;0;;1;0;19.97
3;0;0;;1;0;19.97
3;0;0;28;1;0;15.85
3;1;1;24;1;0;15.85
3;0;0;20;0;0;9.50
3;0;0;23.5;0;0;7.23
3;0;0;41;2;0;14.11
3;0;0;26;1;0;7.85
3;0;0;21;0;0;7.85
3;1;1;45;1;0;14.11
3;0;1;;0;0;7.55
3;0;0;25;0;0;7.25
3;0;0;;0;0;6.86
3;0;0;11;0;0;18.79
3;1;1;;0;0;7.75
3;1;0;27;0;0;6.98
3;1;0;;0;0;56.50
3;0;1;18;0;0;6.75
3;1;1;26;0;0;7.93
3;0;1;23;0;0;7.93
3;1;1;22;0;0;8.96
3;0;0;28;0;0;7.90
3;0;1;28;0;0;7.78
3;0;1;;0;0;7.75
3;1;1;2;0;1;12.29
3;1;1;22;1;1;12.29
3;0;0;43;0;0;6.45
3;0;0;28;0;0;22.53
3;1;1;27;0;0;7.93
3;0;0;;0;0;7.75
3;1;1;;0;0;8.05
3;0;0;42;0;0;7.65
3;1;0;;0;0;7.89
3;0;0;30;0;0;7.23
3;0;0;;0;0;7.90
3;0;1;27;1;0;7.93
3;0;1;25;1;0;7.93
3;0;0;;0;0;7.90
3;1;0;29;0;0;7.90
3;1;0;21;0;0;7.80
3;0;0;;0;0;7.05
3;0;0;20;0;0;7.85
3;0;0;48;0;0;7.85
3;0;0;17;1;0;7.05
